Category,Skill,Markdown Files
harness-engineering,sandbox-execution,17
harness-engineering,tool-orchestration,17
languages,elixir,14
languages,go,14
languages,java,14
languages,python,14
languages,typescript,14
low-level,compiler-design,9
low-level,ebpf-engineering,9
low-level,kernel-development,9
low-level,network-protocols,9
management,agile-scrum-kanban,26
management,alerting,17
management,ba,17
management,change-management,17
management,cost-benefit,18
management,hiring,17
management,okr-kpi,17
management,pentesting,17
management,pm,17
management,qa,17
management,qc,17
management,risk-management,17
management,security,17
management,sprint-retro,17
management,stakeholder,15
management,team-rules,16
management,team-topology,17
ml,anomaly-detection,17
ml,classical-ml,17
ml,computer-vision,17
ml,deep-learning,17
ml,experiment-tracking,17
ml,feature-engineering,15
ml,feature-store,15
ml,hyperparameter-tuning,17
ml,math-foundations,20
ml,ml-pipeline,15
ml,model-evaluation,17
ml,model-interpretability,17
ml,model-serving,15
ml,nlp,17
ml,recommender,16
ml,time-series,17
mobile,android,16
mobile,dotnet-maui,15
mobile,flutter,16
mobile,ionic-capacitor,16
mobile,ios,16
mobile,kotlin-multiplatform,16
mobile,mobile-localization,15
mobile,mobile-widgets,15
mobile,react-native,24
mobile,universal,326
planning,bdd-atdd,15
planning,bpmn-modeling,15
planning,cost-benefit,16
planning,create-adr,17
planning,create-brief,17
planning,create-pitch-deck,17
planning,create-prd,17
planning,create-roadmap,17
planning,create-story,17
planning,create-tech-spec,15
planning,market-analysis,16
planning,solution-architecture,32
product,ab-testing,17
product,analytics,17
product,customer-journey,17
product,feature-prioritization,16
product,go-to-market,17
product,growth-engineering,17
product,onboarding-flow,15
product,persona-development,18
product,pricing-strategy,16
product,user-research,17
prompt-engineering,chain-of-thought,9
prompt-engineering,few-shot-prompting,17
prompt-engineering,jailbreak-prevention,17
prompt-engineering,rag-design,17
prompt-engineering,tree-of-thoughts,17
quality,acceptance-testing,18
quality,contract-testing,16
quality,e2e-testing,16
quality,exploratory-testing,16
quality,integration-testing,20
quality,load-testing,18
quality,property-based-testing,19
quality,quality-e2e-testing,17
quality,regression-testing,20
quality,smoke-testing,19
quality,unit-testing,19
quality,visual-testing,15
quantum-computing,quantum-algorithms,9
quantum-computing,quantum-circuits,9
quantum-computing,quantum-error-correction,9
security,abac,18
security,api-security,17
security,container-security,18
security,cspm,26
security,data-security,18
security,edr-xdr,16
security,iam-governance,25
security,penetration-testing,24
security,rbac,25
security,sast-dast,18
security,sbom,20
security,secrets-management,18
security,siem-engineering,19
security,soar-automation,18
security,soc-operations,19
security,threat-intelligence,19
security,zero-trust,36
seo,references,9
site-reliability-engineering,chaos-engineering,9
site-reliability-engineering,incident-response,9
site-reliability-engineering,observability-scaling,9
site-reliability-engineering,references,8
site-reliability-engineering,sli-slo-management,9
system-design,cap-theorem,9
system-design,database-sharding,9
system-design,distributed-caching,9
system-design,event-sourcing,9
system-design,references,8
tools,eslint,11
tools,git,11
tools,jest,11
tools,prettier,11
tools,vite,11
tools,vscode,11
web,accessibility,11
web,apis,157
